gene_id,Sig0alP,tmhmm,SwissProt_ID,SwissProt_Description,Blue1,Blue2,Blue3,Dark1,Dark2,Dark3,Yellow1,Yellow2,Yellow3
g_00042,0,0,NA,NA,4.090132,6.301441,5.051528,0.070812,0.285093,0.669269,0.261023,0.051986,0.353194
g_00044,0,1,O42630.1,RecName: Full=Vacuolar protease A; AltName: Full=Aspartic endopeptidase pep2; AltName: Full=Aspartic protease pep2; Flags: Precursor,47.934928,13.308083,8.338531,0.136741,0.156767,0.665592,0.134388,0.24246,0.151855
g_00045,0,0,NA,NA,7.621404,2.166187,1.098463,0.066281,0,0.054802,0.134524,0,0
g_00048,0,1,NA,NA,9.301398,4.755461,5.181585,0.156862,0.10931,0,3.143275,3.519088,0.327377
g_00049,1,0,NA,NA,4.462078,4.44159,6.865401,0.048438,0.012469,0.153716,0.038134,0.063185,0.047592
g_00051,0,0,Q9Y898.1,RecName: Full=Calcium/calmodulin-dependent protein kinase kinase cmkC; AltName: Full=CaMK kinase C; Short=CaMKK C; AltName: Full=CaMKK alpha/beta homolog,9.350611,2.934975,0.625679,0.071601,0.112894,0.148576,0.038953,0.1171,0.112053
g_00054,0,0,Q9L6V3.2,RecName: Full=Flavodoxin/ferredoxin--NADP reductase; AltName: Full=Ferredoxin (flavodoxin):NADP(+) oxidoreductase; AltName: Full=Ferredoxin--NADP reductase; Short=FNR; AltName: Full=Flavodoxin--NADP reductase; Short=FLDR,4.250577,4.774821,4.156615,0,0.075943,0,0.083923,0,0.06006
g_00056,0,0,NA,NA,23.397016,8.88766,4.986682,0.072895,0,0.224371,0,0,0.065281
g_00060,0,0,B5VNQ3.2,RecName: Full=Serine/threonine-protein kinase STE11,4.28399,2.266707,1.896508,0.125662,0.114164,0.145608,0.288398,0.099,0.056549
g_00063,0,0,Q05493.1,"RecName: Full=3-ketoacyl-CoA thiolase, peroxisomal; AltName: Full=Acetyl-CoA acyltransferase; AltName: Full=Beta-ketothiolase; AltName: Full=Peroxisomal 3-oxoacyl-CoA thiolase; Flags: Precursor",27.514109,8.568295,4.806892,0.195662,0.626807,0.837636,0.599615,0.21887,0.218792
g_00066,0,0,NA,NA,1.425932,1.228672,1.447736,50.463249,58.786815,32.8601,49.299888,57.830915,90.074687
g_00068,0,0,P40882.2,RecName: Full=Uncharacterized protein PA3753,4.344383,3.11337,1.600445,0,0.243309,0,0,0.060702,0
g_00071,0,0,Q9SEI4.1,RecName: Full=26S proteasome regulatory subunit 6B homolog; AltName: Full=26S protease subunit 6B homolog; AltName: Full=26S proteasome AAA-ATPase subunit RPT3; AltName: Full=Protein BMAA insensitive morphology 409; AltName: Full=Regulatory particle triple-A ATPase subunit 3,25.965625,10.372978,10.762415,0.059428,0.057943,0.133221,7.338102,5.509588,0.856466
g_00074,1,1,NA,NA,8.638039,8.167224,10.108506,189.65714,212.865137,211.241268,285.948946,324.092052,224.606221
g_00075,0,0,NA,NA,4.251233,1.465836,0.508091,4.698604,2.611222,4.28311,3.733912,3.737975,2.626522
g_00077,0,0,Q04472.1,RecName: Full=Mitochondrial inner membrane i-AAA protease supercomplex subunit MGR3; AltName: Full=Mitochondrial genome-required protein 3,5.798902,2.137599,2.076963,0,0,0,0,0.060087,0
g_00078,0,0,NA,NA,2.056359,0.974352,0.734946,6.8044,2.975194,3.749162,3.24231,3.418638,5.200225
g_00081,0,0,Q87AR6.1,RecName: Full=Outer membrane protein assembly factor BamD; Flags: Precursor,24.135737,3.240557,2.907688,0.971211,1.295784,1.157983,0.387896,0.171413,2.336048
g_00082,0,1,E9QT42.1,RecName: Full=High affinity iron permease ftrA,13.968003,4.805663,3.822073,0.139303,0.362773,0.27849,0.040309,0,0.268092
g_00083,0,0,Q55FN7.1,"RecName: Full=2-oxoisovalerate dehydrogenase subunit beta, mitochondrial; AltName: Full=3-methyl-2-oxobutanoate dehydrogenase; AltName: Full=Branched-chain alpha-keto acid dehydrogenase E1 component beta chain; Short=BCKDE1B; Short=BCKDH E1-beta; Flags: Precursor",5.752404,2.947254,3.829662,0.067902,0.134351,0.052424,0.701325,0.570526,0.070072
g_00089,0,0,Q98N66.1,RecName: Full=DNA-directed RNA polymerase subunit beta; Short=RNAP subunit beta; AltName: Full=RNA polymerase subunit beta; AltName: Full=Transcriptase subunit beta,2.68055,6.261425,4.89973,0.149256,0.524158,0.25231,0.045133,0.027698,0.160069
g_00091,0,0,NA,NA,24.421738,34.148581,28.730239,949.34728,1050.803695,622.730227,885.815155,947.189212,1101.383687
g_00092,0,0,NA,NA,1.519281,2.322905,2.257932,27.465288,21.003184,24.392552,21.1228,20.504162,23.943399
g_00093,0,1,P54491.1,RecName: Full=Uncharacterized protein YqgN,1.797876,4.245988,4.993294,0.519817,0.360433,0.658813,0.632616,1.145969,0.323218
g_00094,0,1,P32867.2,RecName: Full=Protein SSO1,4.055572,6.686589,8.173127,0.20232,0,0.238701,0.079641,0.095035,0
g_00095,0,0,P32588.4,RecName: Full=Nuclear and cytoplasmic polyadenylated RNA-binding protein PUB1; AltName: Full=ARS consensus-binding protein ACBP-60; AltName: Full=Poly uridylate-binding protein; Short=Poly(U)-binding protein,24.455006,5.491925,3.582239,0.122877,0.165506,0.198722,0.122993,0.175258,0.01343
g_00096,0,0,A7HWS2.1,RecName: Full=50S ribosomal protein L24,17.689876,6.094256,8.137536,0,0,0,3.200393,2.718922,0.079737
g_00097,0,0,NA,NA,14.297056,31.511262,26.22011,70.013884,67.355546,53.607178,37.45727,47.535612,48.955646
g_00098,0,0,Q12250.3,RecName: Full=26S proteasome regulatory subunit RPN5; AltName: Full=Proteasome non-ATPase subunit 5,5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203
g_00099,0,0,Q5AK62.2,RecName: Full=Virulence protein SSD1,5.453701,3.107994,5.264323,0.19631,0,0.1107,0.13662,0,0
g_00105,0,0,P9WPD4.1,RecName: Full=Citrate synthase 1 >P9WPD5.1 RecName: Full=Citrate synthase 1,5.899153,10.851225,13.504314,1.922676,2.691299,1.274304,1.643598,2.035714,1.250511
g_00106,0,0,Q02PG5.1,RecName: Full=Glyceraldehyde-3-phosphate dehydrogenase-like protein,8.293552,3.04594,3.906757,11.239117,9.848364,23.4115,11.499717,3.648554,5.014843
g_00110,0,0,P33299.1,RecName: Full=26S proteasome regulatory subunit 7 homolog; AltName: Full=Protein CIM5; AltName: Full=Tat-binding homolog 3,12.005929,3.231936,3.48716,0.089072,0,0.17289,0.248233,0.059321,0.169646
g_00111,0,0,Q83CJ2.1,RecName: Full=Curved DNA-binding protein >A9KE65.1 RecName: Full=Curved DNA-binding protein >A9NDK6.1 RecName: Full=Curved DNA-binding protein,5.3309,10.575518,8.503859,1.641145,1.300598,1.199222,0.949762,1.765592,0.855927
g_00112,0,0,Q6C457.1,RecName: Full=U3 small nucleolar RNA-associated protein 10,17.784271,8.508187,8.251772,0,0.031026,0.050774,0.021965,0.026939,0.043923
g_00113,0,0,P40517.1,RecName: Full=Ran-specific GTPase-activating protein 2; AltName: Full=Ran-binding protein 2; Short=RANBP2,7.314706,5.822808,4.963866,0.194386,0.028705,0.044063,0.556235,0.713737,0
g_00115,0,0,O14209.1,RecName: Full=Uncharacterized aminotransferase C6B12.04c,11.708383,5.084292,3.913729,0,0,0.200566,0.16845,0.067003,0.0368
g_00116,1,1,NA,NA,10.297238,5.551866,2.505545,0,0.146985,0.064945,0,0.072761,0
g_00117,0,0,Q5RDR3.1,RecName: Full=Sodium/potassium-transporting ATPase subunit alpha-1; Short=Na(+)/K(+) ATPase alpha-1 subunit; AltName: Full=Sodium pump subunit alpha-1; Flags: Precursor,6.551834,0.882882,1.657056,0,0,0.110406,0.722013,0.592113,0.055488
g_00118,0,0,NA,NA,4.92218,7.888781,5.593261,1.155863,2.47769,1.412548,2.61626,2.364137,1.794728
g_00120,0,0,NA,NA,3.49951,0.854019,0.992023,0.107918,0.028006,0.191349,2.757542,2.242397,0.253189
g_00121,0,0,Q550K8.1,RecName: Full=Probable serine/threonine-protein kinase DDB_G0277071,8.034803,2.501245,2.647798,0.032023,0.018836,0.061385,1.438393,1.589182,0.107345
g_00122,0,0,NA,NA,17.442095,9.612834,12.786542,0.623101,0.061554,0,1.69904,2.049771,0.061797
g_00123,0,1,NA,NA,21.287942,7.608873,7.97577,0.226837,0.168548,0.128999,2.770667,4.251916,0.50092
g_00124,0,0,P9WGP8.1,RecName: Full=Putative oxidoreductase SadH >P9WGP9.1 RecName: Full=Putative oxidoreductase SadH,7.285518,2.419308,2.201013,8.947741,9.021758,16.682894,12.675186,15.539486,21.576751
g_00126,0,0,Q55BZ4.1,RecName: Full=Ethanolamine-phosphate cytidylyltransferase; AltName: Full=CTP:phosphoethanolamine cytidylyltransferase; AltName: Full=Phosphorylethanolamine transferase,4.635682,1.838725,2.215188,0,0,0.021893,0.625099,0.856202,0.118904
g_00128,0,0,Q54TA5.1,RecName: Full=TBC1 domain family member 5 homolog B,4.010299,1.383827,1.458308,0.026056,0.080123,0,1.522447,0.979338,0.161321
g_00130,0,0,Q9KQ26.1,RecName: Full=Release factor glutamine methyltransferase; Short=RF MTase; AltName: Full=M.VchAHemK2P; AltName: Full=N5-glutamine methyltransferase PrmC; AltName: Full=Protein-(glutamine-N5) MTase PrmC; AltName: Full=Protein-glutamine N-methyltransferase PrmC,2.490093,1.424403,1.725703,0.186651,0.674924,0.613489,0.99289,0.734648,0.497054
g_00133,0,0,NA,NA,11.421028,2.127421,2.626922,0.061884,0.168386,0.047937,2.919495,3.529,0.340622
g_00134,0,0,Q9I452.1,RecName: Full=Probable 3-mercaptopyruvate sulfurtransferase; Short=MST; AltName: Full=Rhodanese-like protein,13.589482,1.390919,0.399204,0.187113,1.021208,0.07358,0.668523,0.345897,0.234993
g_00135,0,0,Q48KA6.1,RecName: Full=UvrABC system protein B; Short=Protein UvrB; AltName: Full=Excinuclease ABC subunit B,40.709973,93.858479,85.699419,18.824685,22.581549,33.802849,28.683023,21.353195,20.598564
g_00136,0,0,Q9X6V6.1,RecName: Full=Endolytic peptidoglycan transglycosylase RlpA; AltName: Full=Rare lipoprotein A; Flags: Precursor,1.377793,1.583281,1.283156,66.66984,54.325566,48.706341,40.665949,43.684961,68.623955
g_00137,0,0,P0A9W4.2,RecName: Full=Energy-dependent translational throttle protein EttA; AltName: Full=Translational regulatory factor EttA >P0A9W3.2 RecName: Full=Energy-dependent translational throttle protein EttA; AltName: Full=Translational regulatory factor EttA >P0A9W5.2 RecName: Full=Energy-dependent translational throttle protein EttA; AltName: Full=Translational regulatory factor EttA,3.181035,3.442159,3.889336,50.1094,57.886667,57.702766,63.220556,53.755722,101.633074
g_00141,0,1,Q8T5Z7.1,RecName: Full=ABC transporter A family member 1; AltName: Full=ABC transporter ABCA.1,3.754456,2.015295,2.865612,0,0,0,0.224502,0.488277,0
g_00145,0,0,Q6CF35.1,RecName: Full=tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6; AltName: Full=tRNA(m1A58)-methyltransferase subunit TRM6; Short=tRNA(m1A58)MTase subunit TRM6,8.280372,1.950181,2.14471,0,0,0.0905,0,0,0
g_00146,0,0,NA,NA,3.584369,1.808257,1.632104,0,0.044357,0.069897,1.871913,1.178383,0.185361
g_00147,0,0,Q75IM9.2,"RecName: Full=Isovaleryl-CoA dehydrogenase, mitochondrial; Short=IVD; Flags: Precursor",2.333491,1.014117,0.858958,4.8008,3.708365,5.123258,4.140805,5.531254,2.794153
g_00148,0,0,NA,NA,8.930585,0.350302,0.038682,0.090093,0.235571,0,0.804405,0.486975,0.103929
g_00151,0,0,P13188.2,RecName: Full=Glutamine--tRNA ligase; AltName: Full=Glutaminyl-tRNA synthetase; Short=GlnRS,8.256172,3.308507,2.713614,0.032484,0,0.023969,0.035124,0,0.139011
g_00152,0,0,Q54YQ9.1,RecName: Full=Diphosphomevalonate decarboxylase; AltName: Full=Mevalonate (diphospho)decarboxylase; Short=MDDase; AltName: Full=Mevalonate pyrophosphate decarboxylase,13.713808,6.075226,5.862727,0.343197,0,0.20393,1.993157,2.572464,0.345817
g_00154,0,0,Q6C9G2.1,RecName: Full=Protein BFR2,8.106134,2.13353,1.069897,0,0.114651,0.048959,0,0,0
g_00155,0,0,NA,NA,5.164451,2.269444,2.282628,0.06222,0.053639,0.08494,2.3931,1.910549,0
g_00156,0,0,Q9Z0X1.1,"RecName: Full=Apoptosis-inducing factor 1, mitochondrial; AltName: Full=Programmed cell death protein 8; Flags: Precursor",4.690594,2.64383,3.719962,0.253689,0,0,0.861959,1.134728,0
g_00159,0,1,B4YQU1.1,RecName: Full=Oleate hydroxylase FAH12; Short=CpFAH; Short=CpFAH12; AltName: Full=Oleate Delta(12)-hydroxylase,98.120839,55.150338,48.265598,0.24764,0.234867,1.879802,0.576609,0.903555,0.712882
g_00160,0,0,Q9LTR9.2,RecName: Full=Glycylpeptide N-tetradecanoyltransferase 1; AltName: Full=Myristoyl-CoA:protein N-myristoyltransferase 1; Short=NMT 1; Short=Type I N-myristoyltransferase 1; AltName: Full=Peptide N-myristoyltransferase 1,12.613936,4.510473,7.295919,0,0.057571,0.049169,1.881844,2.399715,0.271946
g_00161,0,0,NA,NA,9.223902,1.565931,1.551163,0,0,0,0,0.054304,0.055813
g_00162,0,0,O74835.1,RecName: Full=rRNA biogenesis protein rrp5; AltName: Full=Ribosomal RNA-processing protein 5; AltName: Full=U3 small nucleolar RNA-associated protein rrp5; Short=U3 snoRNA-associated protein rrp5,33.923126,17.600585,16.085819,0.016908,0.083762,0.070457,0.023185,0.115029,0.058161
g_00166,0,1,Q8VIK2.1,RecName: Full=Mpv17-like protein 2,4.480193,3.468474,2.838521,0,0,0,0.489729,0.112766,0.089678
g_00167,0,1,P0AFQ4.1,RecName: Full=Probable multidrug ABC transporter permease YbhS >P0AFQ3.1 RecName: Full=Probable multidrug ABC transporter permease YbhS >P0AFQ2.1 RecName: Full=Probable multidrug ABC transporter permease YbhS,1.458489,4.933818,5.482745,0.267419,0.585059,0.340602,0.616261,0.107812,0.371297
g_00169,0,0,NA,NA,5.190476,6.131061,7.072237,1.329443,1.948871,2.334164,2.387209,1.106235,1.566901
g_00171,0,1,A3AWA4.1,RecName: Full=Copper-transporting ATPase HMA5; AltName: Full=Protein HEAVY METAL ATPASE 5; Short=OsHMA5,7.175627,1.173179,0.590096,0,0,0.050577,0,0,0.028168
g_00172,0,0,Q6FJJ8.1,"RecName: Full=ATP-dependent RNA helicase MRH4, mitochondrial; Flags: Precursor",6.34414,2.419721,2.665521,0,0.044699,0,0,0.154454,0
g_00175,0,0,Q870B9.1,RecName: Full=Enolase; AltName: Full=2-phospho-D-glycerate hydro-lyase; AltName: Full=2-phosphoglycerate dehydratase; AltName: Allergen=Rho m 1,24.814333,16.985699,13.648096,0,0,0.099834,0,0,0
g_00176,0,0,Q54TH4.1,RecName: Full=Golgi to ER traffic protein 4 homolog,6.779994,3.965606,5.854469,0.091665,0,0.012339,0.854606,0.639012,0
g_00179,0,1,NA,NA,31.238219,8.687253,7.945867,0.752533,0.153578,0.060584,4.739932,3.428315,0.235417
g_00183,0,0,NA,NA,1.87469,2.317058,2.398791,71.152346,85.882009,81.416441,63.225695,80.586007,112.046846
g_00184,0,1,O78497.1,RecName: Full=Heme oxygenase,6.927883,8.112346,4.603714,0.065509,0,0,0.997836,0.849777,0
g_00185,0,0,NA,NA,1.986913,1.031067,0.409815,2.133318,2.6091,3.126885,1.454977,1.325086,5.762744
g_00193,0,0,Q6Z1C0.1,RecName: Full=Nucleolin 1; AltName: Full=Protein NUCLEOLIN LIKE 1,16.318026,5.59488,5.476162,0.01707,0.029873,0.115739,0.027825,0.039268,0
g_00194,0,0,Q6C2N2.1,RecName: Full=Class E vacuolar protein-sorting machinery protein HSE1,13.183666,2.835099,1.38792,0.110129,0.289093,0.401256,0.231428,0.03064,0
g_00196,0,0,NA,NA,8.183953,9.161265,6.539478,11.816241,12.592597,10.628245,8.464104,13.7165,5.780022
g_00197,0,0,P40341.2,RecName: Full=Mitochondrial respiratory chain complexes assembly protein YTA12; AltName: Full=Tat-binding homolog 12,5.779636,2.939035,2.634676,0.06235,0,0.335054,0.049087,0.224991,0.111675
g_00198,0,1,Q84N34.1,RecName: Full=Heptahelical transmembrane protein 2; AltName: Full=PAQR family protein HHP2,6.033961,2.278727,3.237546,0,0.030865,0.088227,0.984506,0.410656,0.172643
g_00200,0,0,Q6BI60.1,RecName: Full=RuvB-like helicase 1,11.140329,4.688615,4.659944,0,0,0,0,0.058627,0.056073
g_00201,0,1,Q8VE96.1,RecName: Full=Solute carrier family 35 member F6; AltName: Full=ANT2-binding protein; Short=ANT2BP; AltName: Full=Transport and Golgi organization 9 homolog; Flags: Precursor,7.599922,4.192957,5.573712,0.175466,0,0.21743,0.869597,1.375196,0.339418
g_00202,0,0,NA,NA,5.869976,7.567668,2.736318,0,0.031262,0.213599,0.049043,0.198375,0.204281
g_00204,0,0,P44443.1,RecName: Full=Ribonuclease E; Short=RNase E,10.271324,10.823527,11.404685,85.302202,110.464281,62.512062,83.875939,83.958352,53.024601
g_00206,0,0,A3LVX0.2,RecName: Full=Ribosome biogenesis protein NSA1,5.920953,1.341385,2.439297,0,0,0,0,0,0
g_00210,0,0,Q12080.1,RecName: Full=Ribosome biogenesis protein NOP53; AltName: Full=Nucleolar protein 53,19.550404,6.771181,5.37061,0,0,0.10071,0.055768,0,0.056862
g_00216,0,1,F4P6T0.1,"RecName: Full=Ubiquinol oxidase, mitochondrial; AltName: Full=Alternative oxidase; Flags: Precursor",81.395647,54.032105,65.262581,0.528547,0.685922,0.311613,9.694547,3.538802,0.333071
g_00219,0,0,NA,NA,5.558717,3.386731,3.327044,0.098258,0.026125,0.013559,0.640905,1.062596,0.145828
g_00220,0,0,P44176.1,"RecName: Full=5'-3' exoribonuclease; AltName: Full=3',5'-nucleotide bisphosphate phosphatase; AltName: Full=RNase AM",4.408963,2.655963,1.716013,0.340763,0,0.038937,0.081019,0.080033,0.197749
g_00223,0,0,P59571.1,RecName: Full=Copper resistance protein A homolog; Flags: Precursor,18.349626,8.619268,9.472965,1.48443,0.557744,1.388104,0.424744,0.559424,1.528395
g_00226,0,0,Q5A4W8.1,RecName: Full=Bromodomain-containing factor 1,3.882869,3.463748,3.400787,0,0,0.051775,0.05058,0.025993,0.055016
g_00230,0,0,P52694.2,RecName: Full=Glyceraldehyde-3-phosphate dehydrogenase; Short=GAPDH; AltName: Full=NAD-dependent glyceraldehyde-3-phosphate dehydrogenase,10.953219,3.938395,4.867002,0.835785,1.384463,1.00158,0.467463,0.74611,1.323162
g_00231,0,0,Q811F1.4,RecName: Full=Zinc finger and BTB domain-containing protein 41,8.661058,1.402489,1.038544,0,0,0.141252,0.030668,0,0
g_00232,1,0,NA,NA,12.343285,7.09825,7.247579,25.532507,13.291872,82.15634,55.989121,84.135541,106.532944
g_00233,1,1,NA,NA,7.064402,1.413677,0.771554,0,0,0,0.060069,0,0
g_00236,0,0,NA,NA,86.220288,143.548738,162.939911,1.017877,0.9124,2.829759,1.414277,1.351863,0.448646
g_00238,0,0,NA,NA,3.227533,3.979738,2.973061,0,0.044718,0.051506,0.044661,0.128757,0.113798
g_00241,0,0,NA,NA,31.622012,36.317808,35.228399,0.725741,0.328469,0.507347,11.415977,16.326166,0.8148
g_00242,0,1,NA,NA,8.981822,5.275078,4.059341,0,0.116388,0.289977,0,0.060477,0.071777
g_00243,0,0,Q8TWR9.1,RecName: Full=MEMO1 family protein MK0963,4.872343,9.820883,6.921564,1.379775,2.238579,2.669233,0.418451,0.795258,0.675838
g_00250,0,1,Q49XM6.1,RecName: Full=Signal transduction histidine-protein kinase ArlS,3.074613,4.464757,2.839438,0.971134,1.017728,0.322308,0.472764,0.423821,0.555461
g_00251,0,1,P26276.4,RecName: Full=Phosphomannomutase/phosphoglucomutase; Short=PMM / PGM >Q02E40.2 RecName: Full=Phosphomannomutase/phosphoglucomutase; Short=PMM / PGM,36.332458,0.537625,0.728516,0.645563,1.345114,0.231598,3.432671,1.572748,0.383525
g_00252,0,0,Q9HGT6.1,"RecName: Full=Serine--tRNA ligase, cytoplasmic; AltName: Full=Seryl-tRNA synthetase; Short=SerRS; AltName: Full=Seryl-tRNA(Ser/Sec) synthetase",13.186405,2.68316,3.250857,0.031843,0,0.040052,0.050138,0.058245,0.026061
g_00253,0,0,Q0IIG7.1,RecName: Full=Ras-related protein Rab-5A,8.995035,5.387782,4.277599,0.112764,0.102617,0,1.513643,3.602187,0.199277
g_00254,0,0,NA,NA,6.545649,3.196615,3.435006,0,0,0,1.265269,0.795571,0.022922
g_00255,0,0,P0C0K4.1,RecName: Full=Stress response kinase A; AltName: Full=Serine/threonine-protein kinase SrkA >P0C0K3.1 RecName: Full=Stress response kinase A; AltName: Full=Serine/threonine protein kinase YihE; AltName: Full=Serine/threonine-protein kinase SrkA,2.087286,0.808277,0.311078,1.483571,2.710756,2.225341,1.86219,1.302412,1.183106
g_00256,0,1,Q6CAC5.1,RecName: Full=High osmolarity signaling protein SHO1; AltName: Full=Osmosensor SHO1,9.730082,2.563221,1.707269,0,0,0.211305,0,0,0
g_00258,0,0,NA,NA,1.871407,7.959474,7.311787,0.799849,0.689947,0.53757,0.487136,1.021518,0.394867
g_00259,0,0,Q8Z1V3.1,RecName: Full=23S rRNA pseudouridine(2604) synthase; AltName: Full=Ribosomal large subunit pseudouridine synthase F; AltName: Full=rRNA pseudouridylate synthase F; AltName: Full=rRNA-uridine isomerase F,8.110782,19.869409,13.746589,1.302205,2.072548,1.900561,1.826839,2.540642,1.763276
g_00260,0,0,Q9LRN8.1,"RecName: Full=50S ribosomal protein L3-2, mitochondrial; Flags: Precursor",19.192779,8.227174,9.24498,0.217425,0.056075,0.166548,2.196226,3.503457,0.210748
g_00265,0,0,NA,NA,1.149012,0.36889,0.152325,23.692671,12.464814,16.469997,23.573953,17.36637,27.177981
g_00267,1,0,Q46863.1,RecName: Full=Probable deoxycholate-binding periplasmic protein YgiS; Flags: Precursor,37.277554,54.585023,26.68607,96.007767,47.672011,70.561798,47.536012,69.387217,46.111016
g_00269,0,0,NA,NA,6.008042,4.370992,4.167581,96.427397,71.063695,64.013111,81.397939,71.074673,98.558615
g_00276,0,0,NA,NA,6.248121,2.789279,1.783584,0,0,0.078102,0.114715,0.324126,0
g_00278,0,1,NA,NA,5.525815,2.333162,2.896121,0,0,0.090497,0.472565,0.441828,0
g_00287,0,0,A6ZRK4.2,"RecName: Full=Cysteine proteinase 1, mitochondrial; AltName: Full=Bleomycin hydrolase; Short=BLM hydrolase; AltName: Full=Homocysteine-thiolactonase; Short=HTLase; Short=Hcy-thiolactonase; AltName: Full=Leucine aminopeptidase 3; AltName: Full=Y3; Flags: Precursor",9.562613,2.325145,3.58542,0.065945,0,0.143973,0,0,0
g_00288,0,1,NA,NA,9.270414,0.38063,1.07755,0,0,0,0,0,0
g_00290,0,0,Q58094.1,PUTATIVE PSEUDOGENE: RecName: Full=Putative transketolase N-terminal section; Short=TK,3.827293,6.479653,5.031265,1.197024,0.508448,0.751224,0.736004,0.787378,0.276692
g_00293,0,0,NA,NA,0.426253,0.387586,0.472246,9.135268,9.187343,13.998935,9.173835,9.96628,9.945227
g_00296,0,0,P19338.3,RecName: Full=Nucleolin; AltName: Full=Protein C23,19.849681,4.538321,7.470686,0,0,0.232964,0.04011,0,0.070672
g_00303,0,0,Q5A220.3,RecName: Full=Repressor of filamentous growth 1,36.295747,70.747585,68.315266,0.072452,0.403889,0.120161,0.0638,0.20369,0.33403
g_00304,0,0,A6S3E0.1,RecName: Full=Protein ssh4,22.925436,2.183417,0.923338,0.070446,0,0.420307,0.050179,0.124708,0.059225
g_00305,0,0,Q8XBI9.2,RecName: Full=Dye-decolorizing peroxidase YfeX,14.760978,5.458646,4.056831,0.144025,0,0.055598,1.851185,1.582881,0.059792
g_00308,0,0,Q6BP45.2,RecName: Full=ATP-dependent RNA helicase ROK1,7.818319,3.641443,2.739324,0.063011,0.02848,0.145944,0,0,0.056429
g_00309,0,0,P39081.2,RecName: Full=Protein PCF11; AltName: Full=protein 1 of CF I,6.407965,5.057168,5.252697,0.241194,0.055075,0.187826,0,0.059196,0.224968
g_00316,0,0,NA,NA,16.173331,4.436373,3.578496,0,0,0.055455,0.029874,0,0
